Store,ActualSales,MAE,RMSPE
997,381151,1287.5968033854167,0.3237506616640781
140,586139,1285.2595638020832,0.17671594957184825
118,655066,1284.5653590152137,0.15923375352468708
707,661937,1281.4139192708333,0.18231382990821643
165,298154,1279.9546516927082,0.3682683648019551
393,465381,1274.3847395833334,0.27192439358889137
58,551975,1272.4689127604167,0.19225245605270985
1019,664565,1272.2313216145833,0.1728750691742009
366,467382,1271.3102898848683,0.4582204531682757
269,665789,1270.1242838541666,0.25768595805611216
307,205995,1266.1469357139185,0.5561062375970223
206,600535,1264.45763671875,0.18863048150783726
785,568494,1262.727265625,0.1765073373440387
838,666847,1253.796875,0.16343173126344027
480,373636,1251.100406044408,0.4067445712165222
266,320107,1249.8783697831004,0.3873762488474285
430,682638,1248.0584309895833,0.15605078297473868
20,636600,1245.977149757179,0.17011559172298032
373,355577,1244.5574348958332,0.304042288167466
649,283922,1242.8226173802425,0.4403613426054329
899,395459,1242.787417763158,0.6891023334060228
736,376129,1242.0530989583333,0.31302141491653096
607,287439,1241.7121967516448,0.7425730621953447
450,699325,1238.1849869791668,0.15336099490663024
7,717730,1236.2665625,0.15296006857897015
656,255136,1232.4312532552083,0.41217847501240673
659,415684,1230.7809830729166,0.33261052944570085
257,389367,1228.5482338353206,0.33743406436000617
774,420738,1228.1493305407073,0.27818885643383706
738,681200,1227.6481184895833,0.1540910735871107
734,419197,1226.981484375,0.34461151659383776
48,269257,1226.7062313682154,0.38040090757962275
725,450669,1222.5390496504933,0.24728562873003104
552,593637,1221.077421875,0.17706118396142345
1061,645107,1220.6206315104166,0.16184847436517835
702,328288,1217.6381868489584,0.3296009837951832
394,681791,1217.3272526041667,0.14921488223885998
291,600836,1216.9266164679277,0.23290924409742264
999,706320,1216.455720600329,0.16059605766826127
1012,449738,1212.1965559895834,0.2585956089733503
113,451387,1211.8456315104168,0.2569035907458727
1037,491396,1209.3241927083334,0.267503028964185
914,709928,1208.809506064967,0.17089517358873985
713,712429,1208.7962825520833,0.16508305024695746
306,349124,1207.36765625,0.34702798321202766
846,705920,1203.7118815104166,0.1498473774411606
711,452526,1203.5668098958333,0.255278501277824
323,590450,1198.5598046875,0.16874238125824298
455,621893,1197.4159049479167,0.16598029669533995
1018,855529,1194.9434621710527,0.12543776819613797
507,664499,1191.7649674479167,0.1622939151696822
787,802975,1190.0526251541942,0.13552143205222744
212,354977,1188.5334922388981,0.30418807623334393
632,594343,1185.9633275082238,0.18309087114149597
42,789234,1185.0168424479166,0.1334928717596144
359,517499,1184.8750325520834,0.21119742322016385
633,559775,1184.3644140625,0.18542090107403866
957,631623,1182.297054893092,0.24183874616372766
6,355463,1178.2273209635416,0.30689884482680635
902,315080,1177.84654296875,0.33426024195673326
134,356327,1176.0032573499177,0.2967110866950684
325,472259,1171.0809765625,0.27356957574457774
947,593490,1170.3626236979167,0.19793384210078674
761,711836,1170.3136114823192,0.14102247982921973
406,561930,1164.4931184895834,0.16658178385776512
80,620845,1164.465390625,0.16135156983823248
253,433076,1164.0062630208333,0.2882449169479378
85,682630,1161.0376781421703,0.1900436669780532
384,714465,1159.8392976459704,0.17350556525336677
330,312495,1158.7096126302083,0.3404609136871511
413,546208,1154.0137565104167,0.2633032320358583
16,612737,1153.2048801731419,0.1677981115898913
825,386392,1150.6755794270832,0.2767451005753598
154,700582,1150.1685872395833,0.1441347644273939
